filename,branch_name,branch_type,compressor,compressed_bytes,uncompressed_bytes,compression_ratio
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2g22_tight_L1EM7_EMPTY,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28555,250652,8.777867273682368
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2g22_tight_L1EM7_UNPAIRED_ISO,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28359,250848,8.84544589019359
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu10,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28067,250176,8.91352834289379
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu10_nomucomb,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28325,250428,8.841235657546337
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu14,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28067,250176,8.91352834289379
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu14_nomucomb,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28325,250428,8.841235657546337
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu20_L12MU20_OVERLAY,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28518,250624,8.788274072515604
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu6_10invm30_pt2_z10,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28518,250624,8.788274072515604
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu6_bJpsimumu,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28325,250428,8.841235657546337
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_2mu6_bUpsimumu,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28325,250428,8.841235657546337
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_3g15_loose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28211,250316,8.872992804225301
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_3g20_loose,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28211,250316,8.872992804225301
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_3mu4,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28044,250148,8.91984025103409
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_3mu6,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28044,250148,8.91984025103409
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_3mu6_msonly,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28241,250344,8.864558620445452
DAOD_PHYSLITE.37019878._000001.pool.root.1,AnalysisTrigMatch_HLT_3mu6_msonly_L1MU4_UNPAIRED_ISO,DataVector<xAOD::TrigComposite_v1>,ZSTD(5),28780,250876,8.717025712300208
