Compressor,Iterations,Data name,Source file,Tree name,Branch name,Precision,Average compression time (ms),Average decompression time (ms),Original data size (bytes),Compressed data size (bytes),Compression ratio,Average relative error,Trunk compression level,SZ error bound mode,SZ algorithm,SZ interpolation algorithm
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt_syst,3.0,140.4,1.0,535336.0,272858.0,1.96,0.000177,9,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt_syst,3.0,30.0,20.0,535336.0,99369.0,5.39,0.021064,-1,1,0,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt_syst,3.0,31.8,21.0,535336.0,99369.0,5.39,0.021064,-1,1,0,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt_syst,3.0,33.2,8.4,535336.0,108184.0,4.95,0.018411,-1,1,1,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt_syst,3.0,33.2,8.6,535336.0,108184.0,4.95,0.018411,-1,1,1,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt_syst,3.0,12.2,8.0,535336.0,108184.0,4.95,0.018411,-1,1,2,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt_syst,3.0,12.2,9.0,535336.0,109927.0,4.87,0.018419,-1,1,2,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt_syst,3.0,9.4,6.0,535336.0,88661.0,6.04,0.020391,-1,1,3,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt_syst,3.0,9.2,6.0,535336.0,88661.0,6.04,0.020391,-1,1,3,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt_syst,3.0,1.6,0.0,535336.0,475197.0,1.13,0.0,-1,1,4,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt_syst,3.0,1.4,0.0,535336.0,475197.0,1.13,0.0,-1,1,4,1
Trunk,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt,3.0,105.2,1.6,535336.0,276637.0,1.94,0.000175,9,-1,-1,-1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt,3.0,39.6,23.0,535336.0,136872.0,3.91,0.010777,-1,1,0,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt,3.0,33.6,24.8,535336.0,136872.0,3.91,0.010777,-1,1,0,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt,3.0,34.8,11.0,535336.0,147793.0,3.62,0.009419,-1,1,1,0
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt,3.0,35.2,11.2,535336.0,147793.0,3.62,0.009419,-1,1,1,1
SZ,5.0,root,mc_361106.Zee.1largeRjet1lep.root,mini,jet_pt,3.0,13.0,11.0,535336.0,147793.0,3.62,0.009419,-1,1,2,0
