Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
SZ,5,mini-lep_tracksigd0pvunbiased,3,-1,1,4,1,1.4,1.38085078156897e-310,1.1074540174249758,334692,370656,0
Trunk,5,mini-jet_pt,3,9,-1,-1,-1,111.2,2,1.9351569023666393,276637,535336,0.00017540965476027547
SZ,5,mini-jet_pt,3,-1,1,0,0,35.8,26.4,3.911216318896487,136872,535336,0.010776861296827762
SZ,5,mini-jet_pt,3,-1,1,0,1,33.6,24.2,3.911216318896487,136872,535336,0.010776861296827762
SZ,5,mini-jet_pt,3,-1,1,1,0,38,12.4,3.6222013221194507,147793,535336,0.009419491696826439
SZ,5,mini-jet_pt,3,-1,1,1,1,37.8,11.8,3.6222013221194507,147793,535336,0.009419491696826439
SZ,5,mini-jet_pt,3,-1,1,2,0,13.6,11,3.6222013221194507,147793,535336,0.009419491696826439
SZ,5,mini-jet_pt,3,-1,1,2,1,16.4,12,3.5722645953863297,149859,535336,0.009431443380465998
SZ,5,mini-jet_pt,3,-1,1,3,0,11.2,8.6,4.536053822298293,118018,535336,0.010996072088137951
SZ,5,mini-jet_pt,3,-1,1,3,1,10.8,8,4.536053822298293,118018,535336,0.010996072088137951
SZ,5,mini-jet_pt,3,-1,1,4,0,1.8,1.3840816599574e-310,1.1106901667064328,481985,535336,0
SZ,5,mini-jet_pt,3,-1,1,4,1,1.4,1.38499858731135e-310,1.1106901667064328,481985,535336,0
Trunk,5,mini-jet_eta,3,9,-1,-1,-1,144.6,2,1.7643456738042114,303419,535336,0.00017627336134550995
SZ,5,mini-jet_eta,3,-1,1,0,0,35,26,2.770288032622308,193242,535336,0.008665152032248989
SZ,5,mini-jet_eta,3,-1,1,0,1,35,26,2.770288032622308,193242,535336,0.008665152032248989
SZ,5,mini-jet_eta,3,-1,1,1,0,40.8,13.4,2.6122106413709645,204936,535336,0.01091062087158119
SZ,5,mini-jet_eta,3,-1,1,1,1,41.4,14,2.6122106413709645,204936,535336,0.01091062087158119
SZ,5,mini-jet_eta,3,-1,1,2,0,15.8,13.4,2.6122106413709645,204936,535336,0.01091062087158119
SZ,5,mini-jet_eta,3,-1,1,2,1,15.8,13.4,2.586664089679165,206960,535336,0.009358969138369665
SZ,5,mini-jet_eta,3,-1,1,3,0,11,11,3.067177733088113,174537,535336,0.005672882542260384
SZ,5,mini-jet_eta,3,-1,1,3,1,11,11,3.067177733088113,174537,535336,0.005672882542260384
SZ,5,mini-jet_eta,3,-1,1,4,0,1.4,1.38841224600546e-310,1.0852622659027973,493278,535336,0
SZ,5,mini-jet_eta,3,-1,1,4,1,1.6,1.38590748270923e-310,1.0852622659027973,493278,535336,0
Trunk,5,mini-jet_phi,3,9,-1,-1,-1,134,2,1.7915478628702997,298812,535336,0.00017842056468545726
SZ,5,mini-jet_phi,3,-1,1,0,0,35.2,28.6,2.7199406561358406,196819,535336,0.007023838443997775
SZ,5,mini-jet_phi,3,-1,1,0,1,34.8,26.6,2.7199406561358406,196819,535336,0.007023838443997775
SZ,5,mini-jet_phi,3,-1,1,1,0,40.6,13.2,2.528545180594851,211717,535336,0.006557963171287028
SZ,5,mini-jet_phi,3,-1,1,1,1,40.6,14,2.528545180594851,211717,535336,0.006557963171287028
SZ,5,mini-jet_phi,3,-1,1,2,0,15.2,13.4,2.528545180594851,211717,535336,0.006557963171287028
SZ,5,mini-jet_phi,3,-1,1,2,1,16.4,14,2.512441686925669,213074,535336,0.006992221216670696
SZ,5,mini-jet_phi,3,-1,1,3,0,11,11,3.062124982124982,174825,535336,0.004337311270046416
SZ,5,mini-jet_phi,3,-1,1,3,1,11,11,3.062124982124982,174825,535336,0.004337311270046416
SZ,5,mini-jet_phi,3,-1,1,4,0,2,1.38080954457667e-310,1.0846575747690723,493553,535336,0
SZ,5,mini-jet_phi,3,-1,1,4,1,1.8,1.38372022982466e-310,1.0846575747690723,493553,535336,0
Trunk,5,mini-jet_E,3,9,-1,-1,-1,132.2,1.6,1.8772719143519412,285167,535336,0.0001759134517379207
SZ,5,mini-jet_E,3,-1,1,0,0,32.8,23.6,3.917140452932353,136665,535336,0.014123349732059844
SZ,5,mini-jet_E,3,-1,1,0,1,32.6,24,3.917140452932353,136665,535336,0.014123349732059844
SZ,5,mini-jet_E,3,-1,1,1,0,36.6,11.2,3.6297411279714686,147486,535336,0.01232384224646518
SZ,5,mini-jet_E,3,-1,1,1,1,37,11,3.6297411279714686,147486,535336,0.01232384224646518
SZ,5,mini-jet_E,3,-1,1,2,0,13.6,11,3.6297411279714686,147486,535336,0.01232384224646518
SZ,5,mini-jet_E,3,-1,1,2,1,13.6,11,3.5839832897053605,149369,535336,0.012267080539925972
SZ,5,mini-jet_E,3,-1,1,3,0,10.8,8,4.458643923809206,120067,535336,0.01404733973085269
SZ,5,mini-jet_E,3,-1,1,3,1,10.8,8.2,4.458643923809206,120067,535336,0.01404733973085269
SZ,5,mini-jet_E,3,-1,1,4,0,1.8,1.383139502091e-310,1.1054996613305579,484248,535336,0
SZ,5,mini-jet_E,3,-1,1,4,1,1.6,1.3868353684006e-310,1.1054996613305579,484248,535336,0
Trunk,5,mini-jet_jvt,3,9,-1,-1,-1,375.2,1,3.3613753524089387,159261,535336,nan
SZ,5,mini-jet_jvt,3,-1,1,0,0,34.2,24.2,3.7137426292056883,144150,535336,inf
SZ,5,mini-jet_jvt,3,-1,1,0,1,34.2,24.2,3.7137426292056883,144150,535336,inf
SZ,5,mini-jet_jvt,3,-1,1,1,0,36.4,8.8,3.932332870564211,136137,535336,inf
SZ,5,mini-jet_jvt,3,-1,1,1,1,35,8.2,3.932332870564211,136137,535336,inf
SZ,5,mini-jet_jvt,3,-1,1,2,0,15.4,11,3.5822565427158546,149441,535336,inf
SZ,5,mini-jet_jvt,3,-1,1,2,1,15.2,11.4,3.4155485373400962,156735,535336,inf
SZ,5,mini-jet_jvt,3,-1,1,3,0,10.8,6.4,5.473839200809825,97799,535336,nan
SZ,5,mini-jet_jvt,3,-1,1,3,1,10.8,6.4,5.473839200809825,97799,535336,nan
SZ,5,mini-jet_jvt,3,-1,1,4,0,5.8,1.38544523956316e-310,1.407205099559703,380425,535336,nan
SZ,5,mini-jet_jvt,3,-1,1,4,1,5.2,1.3898470545011e-310,1.407205099559703,380425,535336,nan
Trunk,5,mini-jet_MV2c10,3,9,-1,-1,-1,179.6,1.6,2.069443263261251,258686,535336,0.00015221684478352633
SZ,5,mini-jet_MV2c10,3,-1,1,0,0,37.6,27.4,2.9124263509800827,183811,535336,0.0017309592919503792
SZ,5,mini-jet_MV2c10,3,-1,1,0,1,39.8,26.6,2.9124263509800827,183811,535336,0.0017309592919503792
SZ,5,mini-jet_MV2c10,3,-1,1,1,0,41,13.2,2.704946692941236,197910,535336,0.0016147459384826053
SZ,5,mini-jet_MV2c10,3,-1,1,1,1,39.6,13,2.704946692941236,197910,535336,0.0016147459384826053
SZ,5,mini-jet_MV2c10,3,-1,1,2,0,15.4,13,2.704946692941236,197910,535336,0.0016147459384826053
SZ,5,mini-jet_MV2c10,3,-1,1,2,1,17,13,2.6492339364187023,202072,535336,0.0016525188215641042
SZ,5,mini-jet_MV2c10,3,-1,1,3,0,11.6,10.2,3.4871901768556817,153515,535336,0.0014450496439498825
SZ,5,mini-jet_MV2c10,3,-1,1,3,1,11,10,3.4871901768556817,153515,535336,0.0014450496439498825
SZ,5,mini-jet_MV2c10,3,-1,1,4,0,1.4,1.38857145567207e-310,1.145542357394596,467321,535336,0
SZ,5,mini-jet_MV2c10,3,-1,1,4,1,1.4,1.3870702581505e-310,1.145542357394596,467321,535336,0
Trunk,5,mini-photon_pt,3,9,-1,-1,-1,0,1.39057954361417e-310,0,8,0,-nan
Trunk,5,mini-photon_eta,3,9,-1,-1,-1,0,1.39052373422176e-310,0,8,0,-nan
Trunk,5,mini-photon_phi,3,9,-1,-1,-1,0,1.3905122112971e-310,0,8,0,-nan
Trunk,5,mini-photon_ptcone30,3,9,-1,-1,-1,0,1.3905933914927e-310,0,8,0,-nan
Trunk,5,mini-photon_etcone20,3,9,-1,-1,-1,0,1.3905044353999e-310,0,8,0,-nan
Trunk,5,mini-tau_pt,3,9,-1,-1,-1,0,1.390574331968e-310,0,8,0,-nan
Trunk,5,mini-tau_eta,3,9,-1,-1,-1,0,1.3905656443352e-310,0,8,0,-nan
Trunk,5,mini-tau_phi,3,9,-1,-1,-1,0,1.3905475000792e-310,0,8,0,-nan
Trunk,5,mini-tau_E,3,9,-1,-1,-1,0,1.39058675129075e-310,0,8,0,-nan
Trunk,5,mini-tau_BDTid,3,9,-1,-1,-1,0,1.3905546437611e-310,0,8,0,-nan
Trunk,5,mini-lep_pt_syst,3,9,-1,-1,-1,74.8,1,1.8266204741793524,202919,370656,0.0001768015069058595
SZ,5,mini-lep_pt_syst,3,-1,1,0,0,21.4,13,9.087155850842139,40789,370656,0.4868624276918091
SZ,5,mini-lep_pt_syst,3,-1,1,0,1,21.4,12.8,9.087155850842139,40789,370656,0.4868624276918091
SZ,5,mini-lep_pt_syst,3,-1,1,1,0,23.2,4,7.536722244814966,49180,370656,0.3989311231247605
SZ,5,mini-lep_pt_syst,3,-1,1,1,1,24.6,4.2,7.536722244814966,49180,370656,0.3989311231247605
