Compressor,Iterations,DataName,Precision,CompressionLevel,ErrorBoundMode,Algo,InterpAlgo,CompressionTimeMS,DecompressionTimeMS,CompressionRatio,CompressedDataSize,OriginalDataSize
SZ,5,mini-jet_pt,3,-1,1,0,0,32.2,23.8,3.911216318896487,136872,535336
SZ,5,mini-jet_pt,3,-1,1,0,1,32,23.8,3.911216318896487,136872,535336
SZ,5,mini-jet_pt,3,-1,1,1,0,34,11,3.6222013221194507,147793,535336
SZ,5,mini-jet_pt,3,-1,1,1,1,33.8,11,3.6222013221194507,147793,535336
SZ,5,mini-jet_pt,3,-1,1,2,0,12.4,11,3.6222013221194507,147793,535336
SZ,5,mini-jet_pt,3,-1,1,2,1,13.4,11.4,3.5722645953863297,149859,535336
SZ,5,mini-jet_pt,3,-1,1,3,0,10.4,8.2,4.536053822298293,118018,535336
SZ,5,mini-jet_pt,3,-1,1,3,1,11.2,8,4.536053822298293,118018,535336
SZ,5,mini-jet_pt,3,-1,1,4,0,1.6,1.39053019501194e-310,1.1106901667064328,481985,535336
SZ,5,mini-jet_pt,3,-1,1,4,1,1.4,1.390626553368e-310,1.1106901667064328,481985,535336
Trunk,5,mini-jet_eta,3,9,-1,-1,-1,147.6,2,1.7643456738042114,303419,535336
SZ,5,mini-jet_eta,3,-1,1,0,0,34.4,26.2,2.770288032622308,193242,535336
SZ,5,mini-jet_eta,3,-1,1,0,1,34.2,26,2.770288032622308,193242,535336
SZ,5,mini-jet_eta,3,-1,1,1,0,39.6,13.4,2.6122106413709645,204936,535336
SZ,5,mini-jet_eta,3,-1,1,1,1,40,13.6,2.6122106413709645,204936,535336
SZ,5,mini-jet_eta,3,-1,1,2,0,16,14,2.6122106413709645,204936,535336
SZ,5,mini-jet_eta,3,-1,1,2,1,15.8,14,2.586664089679165,206960,535336
SZ,5,mini-jet_eta,3,-1,1,3,0,11.2,11,3.067177733088113,174537,535336
SZ,5,mini-jet_eta,3,-1,1,3,1,11,11,3.067177733088113,174537,535336
SZ,5,mini-jet_eta,3,-1,1,4,0,1.6,1.39054007317405e-310,1.0852622659027973,493278,535336
SZ,5,mini-jet_eta,3,-1,1,4,1,1.8,1.39056836211524e-310,1.0852622659027973,493278,535336
Trunk,5,mini-jet_phi,3,9,-1,-1,-1,146.4,2,1.7915478628702997,298812,535336
SZ,5,mini-jet_phi,3,-1,1,0,0,36.4,26.4,2.7199406561358406,196819,535336
SZ,5,mini-jet_phi,3,-1,1,0,1,34.6,26.2,2.7199406561358406,196819,535336
SZ,5,mini-jet_phi,3,-1,1,1,0,39.6,13.6,2.528545180594851,211717,535336
SZ,5,mini-jet_phi,3,-1,1,1,1,39.4,13.2,2.528545180594851,211717,535336
SZ,5,mini-jet_phi,3,-1,1,2,0,15.2,13.4,2.528545180594851,211717,535336
SZ,5,mini-jet_phi,3,-1,1,2,1,16.2,14.2,2.512441686925669,213074,535336
SZ,5,mini-jet_phi,3,-1,1,3,0,11.4,12,3.062124982124982,174825,535336
SZ,5,mini-jet_phi,3,-1,1,3,1,10.6,11.4,3.062124982124982,174825,535336
SZ,5,mini-jet_phi,3,-1,1,4,0,1.8,1.39058151102675e-310,1.0846575747690723,493553,535336
